latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
41.446,21.949,320.4,1.1,1,2020-05-30,0025,A,100,6.0NRT,283.3,25,N
30.539,26.082,300.7,1.5,1.2,2020-05-30,0025,A,33,6.0NRT,285.6,10.8,N
-30.865,121.493,309.4,1.1,1,2020-05-30,0155,T,69,6.0NRT,287.6,10.7,D
-2.579,121.366,311.6,3.1,1.7,2020-05-30,0150,T,43,6.0NRT,287,41,D
-2.583,121.392,310.9,3.1,1.7,2020-05-30,0150,T,44,6.0NRT,286.4,38.5,D
-12.761,134.057,314.1,2.2,1.4,2020-05-30,0150,T,59,6.0NRT,297.9,17.6,D
-12.759,134.051,312.7,2.2,1.4,2020-05-30,0150,T,53,6.0NRT,298.1,14.8,D
-12.723,133.541,315.7,2,1.4,2020-05-30,0150,T,57,6.0NRT,301.2,19.1,D
-12.753,133.575,315.2,2,1.4,2020-05-30,0150,T,32,6.0NRT,300.2,16.9,D
-12.789,133.545,323.5,2,1.4,2020-05-30,0150,T,76,6.0NRT,300,40,D
-12.801,133.64,311.5,2.1,1.4,2020-05-30,0150,T,42,6.0NRT,299.8,13,D
-12.515,131.133,313.4,1.4,1.2,2020-05-30,0150,T,52,6.0NRT,301.3,7.7,D
-12.86,133.499,315.9,2,1.4,2020-05-30,0150,T,63,6.0NRT,302,18.9,D
-12.612,131.013,332,1.3,1.1,2020-05-30,0150,T,84,6.0NRT,301.1,37.4,D
-12.614,131.025,328.9,1.3,1.1,2020-05-30,0150,T,81,6.0NRT,300.7,29.8,D
-12.615,131.038,328.4,1.3,1.1,2020-05-30,0150,T,80,6.0NRT,301.2,29.2,D
-12.617,131.05,320.6,1.3,1.1,2020-05-30,0150,T,71,6.0NRT,300.7,15.1,D
-12.62,131.074,316.4,1.3,1.1,2020-05-30,0150,T,42,6.0NRT,302.3,9,D
-12.636,130.979,325,1.3,1.1,2020-05-30,0150,T,72,6.0NRT,300.7,25.1,D
-12.911,132.661,318.8,1.8,1.3,2020-05-30,0150,T,58,6.0NRT,301.8,16.8,D
-13.057,133.614,314.6,2.1,1.4,2020-05-30,0150,T,58,6.0NRT,301.3,16.9,D
-13.06,133.626,314.7,2.1,1.4,2020-05-30,0150,T,57,6.0NRT,301.1,17,D
-12.88,131.896,318,1.5,1.2,2020-05-30,0150,T,48,6.0NRT,302.1,13.8,D
-12.891,131.894,325.8,1.5,1.2,2020-05-30,0150,T,64,6.0NRT,303,27,D
-12.822,131.212,315.3,1.4,1.2,2020-05-30,0150,T,58,6.0NRT,301.2,10.5,D
