latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.196,132,357.9,1.6,1.2,2020-06-05,0115,T,99,6.0NRT,303.4,141.9,D
-13.199,132.015,319.2,1.6,1.2,2020-06-05,0115,T,55,6.0NRT,301.7,17.1,D
-13.705,135.129,314.4,1.1,1,2020-06-05,0115,T,61,6.0NRT,302.5,5.9,D
-13.336,132.554,324,1.4,1.2,2020-06-05,0115,T,77,6.0NRT,301.1,26,D
-13.338,132.568,317.7,1.4,1.2,2020-06-05,0115,T,69,6.0NRT,301.7,15.1,D
-13.414,132.963,315.4,1.4,1.2,2020-06-05,0115,T,64,6.0NRT,299.5,10.8,D
-13.41,132.873,312.7,1.4,1.2,2020-06-05,0115,T,56,6.0NRT,298.8,9.9,D
-13.412,132.886,316,1.4,1.2,2020-06-05,0115,T,65,6.0NRT,298.9,14.1,D
-14.822,142.574,312.6,2.1,1.4,2020-06-05,0115,T,60,6.0NRT,295.1,15.8,D
-13.455,132.649,317.5,1.4,1.2,2020-06-05,0115,T,69,6.0NRT,299.5,15.7,D
-13.457,132.662,317.7,1.4,1.2,2020-06-05,0115,T,69,6.0NRT,298.9,16.3,D
-13.497,132.905,311.6,1.4,1.2,2020-06-05,0115,T,48,6.0NRT,299.8,7.2,D
-13.509,132.85,310.5,1.4,1.2,2020-06-05,0115,T,45,6.0NRT,299.5,7.2,D
-13.917,135.251,312.3,1,1,2020-06-05,0115,T,51,6.0NRT,300.2,4.8,D
-13.926,135.249,314.1,1,1,2020-06-05,0115,T,34,6.0NRT,300.1,5.8,D
-13.94,135.231,318.2,1,1,2020-06-05,0115,T,68,6.0NRT,300.7,9.9,D
-13.562,132.677,323.8,1.4,1.2,2020-06-05,0115,T,67,6.0NRT,301.6,23.4,D
-13.575,132.688,355.6,1.4,1.2,2020-06-05,0115,T,98,6.0NRT,303.8,105.1,D
-13.577,132.701,328.9,1.4,1.2,2020-06-05,0115,T,33,6.0NRT,302.4,27.4,D
-13.974,135.206,320.5,1,1,2020-06-05,0115,T,24,6.0NRT,300.9,10.7,D
-13.983,135.204,332.8,1,1,2020-06-05,0115,T,84,6.0NRT,301.5,25.3,D
-13.592,132.659,320.6,1.4,1.2,2020-06-05,0115,T,60,6.0NRT,300.6,17.9,D
-13.594,132.672,323.6,1.4,1.2,2020-06-05,0115,T,32,6.0NRT,301.3,21,D
-13.604,132.737,314.6,1.4,1.2,2020-06-05,0115,T,40,6.0NRT,300.6,8.9,D
-13.991,135.193,321.5,1,1,2020-06-05,0115,T,39,6.0NRT,301,11.3,D
-13.985,135.096,332.9,1.1,1,2020-06-05,0115,T,85,6.0NRT,303.3,26.4,D
-13.987,135.105,320.1,1.1,1,2020-06-05,0115,T,69,6.0NRT,304.1,10.5,D
-14,135.192,329.5,1,1,2020-06-05,0115,T,82,6.0NRT,301.3,21.3,D
-13.995,135.094,324.3,1.1,1,2020-06-05,0115,T,77,6.0NRT,301.6,15.1,D
-13.996,135.104,325.5,1.1,1,2020-06-05,0115,T,78,6.0NRT,302.8,16.3,D
-14.016,135.124,325.3,1,1,2020-06-05,0115,T,78,6.0NRT,302.3,16.6,D
-14.021,135.153,324.7,1,1,2020-06-05,0115,T,77,6.0NRT,301.5,16.4,D
-14.028,135.142,326.3,1,1,2020-06-05,0115,T,79,6.0NRT,301.5,17.2,D
-14.03,135.152,325.2,1,1,2020-06-05,0115,T,78,6.0NRT,301.5,16.2,D
-13.329,130.597,325.3,2,1.4,2020-06-05,0115,T,65,6.0NRT,301.2,42.2,D
-13.347,130.631,319.3,2,1.4,2020-06-05,0115,T,55,6.0NRT,303.5,25.2,D
-13.655,132.482,317.6,1.4,1.2,2020-06-05,0115,T,70,6.0NRT,298.4,17.7,D
-13.657,132.496,323.8,1.4,1.2,2020-06-05,0115,T,78,6.0NRT,300.3,28.5,D
-13.744,132.727,319.4,1.4,1.2,2020-06-05,0115,T,72,6.0NRT,301.2,18.1,D
-13.417,130.649,320,2,1.4,2020-06-05,0115,T,21,6.0NRT,302.4,28.2,D
-13.729,132.435,311.2,1.5,1.2,2020-06-05,0115,T,53,6.0NRT,299.2,7.8,D
-14.13,134.961,314.1,1.1,1,2020-06-05,0115,T,46,6.0NRT,301.9,5.3,D
-13.776,132.59,316.4,1.4,1.2,2020-06-05,0115,T,67,6.0NRT,298.7,14.9,D
-13.788,132.601,313.2,1.4,1.2,2020-06-05,0115,T,58,6.0NRT,299.2,10.1,D
-13.788,132.501,310.8,1.4,1.2,2020-06-05,0115,T,43,6.0NRT,298.5,8.5,D
-13.79,132.514,310.9,1.4,1.2,2020-06-05,0115,T,45,6.0NRT,300.3,8.7,D
-13.83,132.357,315.2,1.5,1.2,2020-06-05,0115,T,65,6.0NRT,299.4,12.7,D
-14.232,134.899,316.9,1.1,1,2020-06-05,0115,T,58,6.0NRT,304.3,7.2,D
-14.248,134.946,314.7,1.1,1,2020-06-05,0115,T,47,6.0NRT,302.6,4.7,D
-14.25,134.956,315.6,1.1,1,2020-06-05,0115,T,62,6.0NRT,302.7,5.7,D
-14.269,135.081,314.1,1,1,2020-06-05,0115,T,57,6.0NRT,300.4,5.5,D
-14.271,135.091,316.5,1,1,2020-06-05,0115,T,64,6.0NRT,300.9,7.8,D
-14.259,134.954,315.6,1.1,1,2020-06-05,0115,T,55,6.0NRT,302.1,5.8,D
-13.919,132.671,316.8,1.4,1.2,2020-06-05,0115,T,68,6.0NRT,299.6,14.6,D
-14.291,134.992,318.7,1.1,1,2020-06-05,0115,T,51,6.0NRT,301.8,9.1,D
-14.304,134.951,318.2,1.1,1,2020-06-05,0115,T,33,6.0NRT,302,8.1,D
-13.938,132.455,311.6,1.4,1.2,2020-06-05,0115,T,54,6.0NRT,299.6,8,D
-13.961,132.598,315.2,1.4,1.2,2020-06-05,0115,T,65,6.0NRT,300.4,12.8,D
-13.964,132.611,321.1,1.4,1.2,2020-06-05,0115,T,74,6.0NRT,301.1,21.2,D
-13.69,130.255,320.9,2.1,1.4,2020-06-05,0115,T,69,6.0NRT,301.7,37.3,D
-13.69,130.249,318.9,2.1,1.4,2020-06-05,0115,T,69,6.0NRT,300.7,32.1,D
-14.379,134.314,316.5,1.1,1.1,2020-06-05,0115,T,65,6.0NRT,300,10.1,D
-14.137,132.609,311.9,1.4,1.2,2020-06-05,0115,T,53,6.0NRT,300.8,7.9,D
-15.612,143.094,315.4,2.3,1.5,2020-06-05,0115,T,67,6.0NRT,294.9,25.1,D
-14.437,134.315,343.8,1.1,1.1,2020-06-05,0115,T,92,6.0NRT,303.2,50.2,D
-14.439,134.325,332.2,1.1,1.1,2020-06-05,0115,T,84,6.0NRT,302.2,28.3,D
-14.443,134.318,345.1,1.1,1.1,2020-06-05,0115,T,93,6.0NRT,305.1,52.4,D
-14.445,134.328,317.2,1.1,1.1,2020-06-05,0115,T,65,6.0NRT,302.3,8,D
-14.448,134.286,313.6,1.1,1.1,2020-06-05,0115,T,55,6.0NRT,302.2,7,D
-14.196,132.671,316.1,1.4,1.2,2020-06-05,0115,T,56,6.0NRT,302.9,10.8,D
-13.814,130.28,320,2.1,1.4,2020-06-05,0115,T,73,6.0NRT,300.8,30.7,D
-13.817,130.299,329,2.1,1.4,2020-06-05,0115,T,83,6.0NRT,303.6,57.6,D
-13.836,130.334,316.2,2.1,1.4,2020-06-05,0115,T,51,6.0NRT,300.8,19.9,D
-14.576,134.394,313.2,1.1,1,2020-06-05,0115,T,45,6.0NRT,302.4,4.9,D
-13.965,130.323,311.3,2,1.4,2020-06-05,0115,T,53,6.0NRT,300.8,13.8,D
-13.966,130.317,312.6,2,1.4,2020-06-05,0115,T,59,6.0NRT,300.5,16.8,D
-16.12,144.242,315.4,2.9,1.6,2020-06-05,0115,T,64,6.0NRT,293.3,41.3,D
-16.121,144.236,316.5,2.9,1.6,2020-06-05,0115,T,67,6.0NRT,293.5,46.1,D
-15.103,135.543,314.5,1,1,2020-06-05,0115,T,48,6.0NRT,302.4,5,D
-15.105,135.553,320.4,1,1,2020-06-05,0115,T,54,6.0NRT,302.1,9.1,D
-15.117,135.57,352.8,1,1,2020-06-05,0115,T,96,6.0NRT,306.3,59.4,D
-15.118,135.579,340.7,1,1,2020-06-05,0115,T,90,6.0NRT,306.5,36.2,D
-14.225,130.074,312.6,2.1,1.4,2020-06-05,0115,T,62,6.0NRT,300.7,19.3,D
-15.127,135.578,342.1,1,1,2020-06-05,0115,T,91,6.0NRT,307.1,38.4,D
-14.512,129.757,313.3,2.2,1.4,2020-06-05,0115,T,23,6.0NRT,299.7,17.7,D
-14.51,129.751,316.7,2.2,1.4,2020-06-05,0115,T,61,6.0NRT,299.6,25.4,D
-14.916,131.123,312.7,1.7,1.3,2020-06-05,0115,T,51,6.0NRT,300.6,11.4,D
-14.991,130.76,312.5,1.8,1.3,2020-06-05,0115,T,57,6.0NRT,301.5,11,D
-14.927,130.175,314.3,2,1.4,2020-06-05,0115,T,64,6.0NRT,298.8,22.5,D
-15.018,130.171,309.6,2,1.4,2020-06-05,0115,T,45,6.0NRT,298.6,13.5,D
-15.08,130.529,314.9,1.9,1.3,2020-06-05,0115,T,34,6.0NRT,301.2,17.4,D
-15.116,130.523,315.8,1.9,1.3,2020-06-05,0115,T,42,6.0NRT,300,20,D
-15.109,130.518,311.5,1.9,1.3,2020-06-05,0115,T,42,6.0NRT,299,12.5,D
-15.112,130.535,318.5,1.9,1.3,2020-06-05,0115,T,71,6.0NRT,301.1,27,D
-15.121,130.516,313.2,1.9,1.3,2020-06-05,0115,T,25,6.0NRT,299.8,14.9,D
-15.079,130.135,311.5,2,1.4,2020-06-05,0115,T,56,6.0NRT,298.6,17.1,D
-15.24,130.856,314.8,1.8,1.3,2020-06-05,0115,T,63,6.0NRT,302.2,14.6,D
-14.924,128.753,317.1,2.6,1.5,2020-06-05,0115,T,35,6.0NRT,300.1,34.8,D
-14.938,128.751,321.8,2.6,1.5,2020-06-05,0115,T,74,6.0NRT,298.9,54.2,D
